HOMICIDE
BATTERY
ASSAULT
CRIMINAL DAMAGE
CRIMINAL TRESPASS
NARCOTICS
WEAPONS VIOLATION
OTHER OFFENSE
BURGLARY
ROBBERY
ARSON
PUBLIC PEACE VIOLATION
THEFT
LIQUOR LAW VIOLATION
DECEPTIVE PRACTICE
OFFENSE INVOLVING CHILDREN
CRIM SEXUAL ASSAULT
MOTOR VEHICLE THEFT
SEX OFFENSE
INTERFERENCE WITH PUBLIC OFFICER
PROSTITUTION
KIDNAPPING
GAMBLING
STALKING
INTIMIDATION
OBSCENITY
PUBLIC INDECENCY
NON-CRIMINAL
OTHER NARCOTIC VIOLATION
NON-CRIMINAL (SUBJECT SPECIFIED)
NON - CRIMINAL
CONCEALED CARRY LICENSE VIOLATION
HUMAN TRAFFICKING
