ALLEY
AUTO
STREET
HOUSE
GARAGE
YARD
GAS STATION
APARTMENT
PORCH
PARKING LOT
ABANDONED BUILDING
BARBER SHOP/BEAUTY SALON
OTHER
BAR OR TAVERN
SIDEWALK
POLICE FACILITY/VEH PARKING LOT
PARKING LOT/GARAGE(NON.RESID.)
CEMETARY
RESIDENTIAL YARD (FRONT/BACK)
RESIDENCE
RESIDENCE PORCH/HALLWAY
SCHOOL, PRIVATE, GROUNDS
CTA TRAIN
HOTEL/MOTEL
GROCERY FOOD STORE
CHA APARTMENT
RESTAURANT
TAVERN/LIQUOR STORE
CTA PLATFORM
VEHICLE NON-COMMERCIAL
CTA GARAGE / OTHER PROPERTY
TAXICAB
SMALL RETAIL STORE
CTA BUS
SPORTS ARENA/STADIUM
RESIDENCE-GARAGE
DRIVEWAY - RESIDENTIAL
PARK PROPERTY
DEPARTMENT STORE
DRUG STORE
CHURCH/SYNAGOGUE/PLACE OF WORSHIP
JAIL / LOCK-UP FACILITY
VACANT LOT/LAND
CONVENIENCE STORE
NURSING HOME/RETIREMENT HOME
CAR WASH
SCHOOL-PUBLIC-GROUNDS
CTA BUS STOP
HOSPITAL BUILDING/GROUNDS
OTHER RAILROAD PROP / TRAIN DEPOT
CHA PARKING LOT/GROUNDS
GOVERNMENT BUILDING/PROPERTY
VEHICLE-COMMERCIAL
COMMERCIAL / BUSINESS OFFICE
SCHOOL-PRIVATE-BUILDING
FACTORY/MANUFACTURING BUILDING
BRIDGE
BARBERSHOP
CHA HALLWAY/STAIRWELL/ELEVATOR
ATHLETIC CLUB
CURRENCY EXCHANGE
WAREHOUSE
POOL ROOM
MEDICAL/DENTAL OFFICE
CONSTRUCTION SITE
ATM (AUTOMATIC TELLER MACHINE)
SCHOOL-PUBLIC-BUILDING
HIGHWAY/EXPRESSWAY
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA
BANK
AIRPORT EXTERIOR - NON-SECURE AREA
COLLEGE/UNIVERSITY GROUNDS
AIRPORT TRANSPORTATION SYSTEM (ATS)
OTHER COMMERCIAL TRANSPORTATION
COLLEGE/UNIVERSITY RESIDENCE HALL
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA
AIRPORT/AIRCRAFT
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA
LIBRARY
AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA
ANIMAL HOSPITAL
DAY CARE CENTER
CLEANING STORE
APPLIANCE STORE
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA
COIN OPERATED MACHINE
BOWLING ALLEY
LAKEFRONT/WATERFRONT/RIVERBANK
AIRPORT PARKING LOT
FIRE STATION
SAVINGS AND LOAN
MOVIE HOUSE/THEATER
AIRPORT BUILDING NON-TERMINAL - SECURE AREA
AIRPORT EXTERIOR - SECURE AREA
DELIVERY TRUCK
AIRPORT VENDING ESTABLISHMENT
FEDERAL BUILDING
AIRCRAFT
FOREST PRESERVE
AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA
CREDIT UNION
BOAT/WATERCRAFT
PAWN SHOP
NEWSSTAND
CTA STATION
CTA TRACKS - RIGHT OF WAY
VEHICLE - DELIVERY TRUCK
VEHICLE - OTHER RIDE SERVICE
